Timestamp,Grade,Age,Gender,Are you the first person in your family to attend college?,Which department/state are you from?,Which district are you from?,What area do you live in?,Library,"How many times a week do you go there? 
Leave empty, if zero.",Lab 1 - 6,"How many times a week do you go there? 
Leave empty, if zero.",Maker Lab,"How many times a week do you go there? 
Leave empty, if zero.",Virtual Reality Lab,"How many times a week do you go there? 
Leave empty, if zero.",Panda,"How many times a week do you go there? 
Leave empty, if zero.",Library,Career Center,Internet Services,Labs,Administrative department,How many activities have you participated in?,Do you code?,Have you participated in any programming groups?,"Choose the (markup, programming, query) languages you know well","Overall, how satisfied are you with your academic program?",How satisfied are you with the quality of teaching in your classes?,How satisfied are you with the academic support services offered by the university?,How satisfied are you with the university culture and community?,"Would you recommend ESIH for a bachelor degree, to someone else?",If your answer is YES - Why would you recommend this university?,If your answer is NO - Why would you not recommend this university?
3/16/2023 23:33:59,L4,22 - 25,Male,No,Artibonite,Gros-Morne,Delmas,Occasionally,1,Often,3,Never,,Never,,Occasionally,,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Satisfied,3,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, Java, SQL",Satisfied,Neutral,Dissatisfied,Neutral,Maybe,,
3/17/2023 8:51:29,L4,22 - 25,Male,No,Ouest,Port-au-Prince,Tabarre,Never,,Occasionally,1,Occasionally,2,Never,,Rarely,1,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Satisfied,10,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, C++, Java, SQL",Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Maybe,Good reference in the job market.,
3/17/2023 10:32:46,L4,18 - 21,Male,No,Centre,Lascahobas,Port-au-Prince,Rarely,,Rarely,1,Never,,Never,,Never,,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,0,Yes,Yes,"JavaScript, Python, C++, Java, Dart, SQL",Very Dissatisfied,Neutral,Dissatisfied,Neutral,Maybe,,
3/17/2023 13:13:05,L4,22 - 25,Male,Yes,Ouest,Port-au-Prince,Delmas,Rarely,,Rarely,,Never,,Never,,Never,,Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,0,Newbie,No,"HTML/CSS, Java, SQL",Neutral,Neutral,Neutral,Dissatisfied,Maybe,Good reference in the job market.,"Lack of practice, Poor academic programs"
3/17/2023 19:01:21,L4,26 - 29,Male,Yes,Artibonite,Saint-Marc,Tabarre,Rarely,,Occasionally,,Occasionally,,Occasionally,,Occasionally,,Neutral,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,1,Yes,Yes,"HTML/CSS, JavaScript, Python, C++, Java, C, Go, SQL",Neutral,Neutral,Neutral,Satisfied,Yes,Good reference in the job market.,Poor academic programs
3/20/2023 10:31:14,L3,18 - 21,Male,No,Sud-Est,La Vallée,Pétion-Ville,Occasionally,3,Occasionally,3,Rarely,1,Rarely,,Occasionally,2,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,1,Yes,No,"HTML/CSS, Php, Java",Dissatisfied,Neutral,Neutral,Satisfied,Yes,"Lots of practices, Rich academic programs, Good quality of teaching, Good reference in the job market.",
3/20/2023 11:55:48,L4,22 - 25,Female,No,Sud-Est,Jacmel,Pétion-Ville,Rarely,,Rarely,2,Rarely,2,Never,,Occasionally,5,Neutral,Neutral,Very Dissatisfied,Neutral,Satisfied,3,Yes,No,"HTML/CSS, Php, Java, SQL",Neutral,Satisfied,Neutral,Neutral,Maybe,,"Lack of practice, Retaking an exam is too expensive"
3/20/2023 11:56:27,L1,18 - 21,Male,No,Ouest,Pétion-Ville,Port-au-Prince,Never,,Rarely,1,Never,,Never,,Never,,Neutral,Very Dissatisfied,Neutral,Satisfied,Neutral,1,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, Java, SQL",Dissatisfied,Neutral,Dissatisfied,Neutral,Maybe,,
3/20/2023 11:59:40,L1,18 - 21,Female,Yes,Ouest,Port-au-Prince,Port-au-Prince,Rarely,4,Often,2,Never,1,Never,1,Never,1,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,2,No,Yes,,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Maybe,,
3/20/2023 12:02:55,L4,22 - 25,Male,No,Sud,Les Cayes,Port-au-Prince,Never,,Occasionally,2,Never,,Often,5,Occasionally,1,Neutral,Neutral,Dissatisfied,Neutral,Neutral,0,Newbie,No,"HTML/CSS, Python, SQL",Neutral,Satisfied,Very Dissatisfied,Very Dissatisfied,Maybe,Lots of practices,"Tuition fees, Retaking an exam is too expensive"
